Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.00      0.01     0.01     9170     0.00     0.00  GFX::cTextureWrapper::GetU() const
  0.00      0.01     0.00    72587     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.01     0.00    50976     0.00     0.00  __gnu_cxx::__normal_iterator<GFX::cTextureMesh::Vertex const*, std::vector<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> > >::__normal_iterator(GFX::cTextureMesh::Vertex const* const&)
  0.00      0.01     0.00    50976     0.00     0.00  __gnu_cxx::__normal_iterator<GFX::cTextureMesh::Vertex const*, std::vector<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> > >::base() const
  0.00      0.01     0.00    44806     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.01     0.00    44784     0.00     0.00  GFX::cTextureMesh::GetNumberOfIndicies() const
  0.00      0.01     0.00    36289     0.00     0.00  __gnu_cxx::new_allocator<int>::construct(int*, int const&)
  0.00      0.01     0.00    36289     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.01     0.00    36288     0.00     0.00  GFX::cTextureMesh::AddVertex8f(float, float, float, float, float, float, float, float)
  0.00      0.01     0.00    36288     0.00     0.00  GFX::cTextureMesh::AddVertex(GFX::cTextureMesh::Vertex const&)
  0.00      0.01     0.00    36288     0.00     0.00  __gnu_cxx::new_allocator<GFX::cTextureMesh::Vertex>::construct(GFX::cTextureMesh::Vertex*, GFX::cTextureMesh::Vertex const&)
  0.00      0.01     0.00    36288     0.00     0.00  std::vector<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> >::push_back(GFX::cTextureMesh::Vertex const&)
  0.00      0.01     0.00    25488     0.00     0.00  bool __gnu_cxx::operator==<GFX::cTextureMesh::Vertex const*, std::vector<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> > >(__gnu_cxx::__normal_iterator<GFX::cTextureMesh::Vertex const*, std::vector<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> > > const&, __gnu_cxx::__normal_iterator<GFX::cTextureMesh::Vertex const*, std::vector<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> > > const&)
  0.00      0.01     0.00    25488     0.00     0.00  GFX::cTextureMesh::GetVertexBuffer() const
  0.00      0.01     0.00    25488     0.00     0.00  GFX::cTextureMesh::GetVertexByteSize() const
  0.00      0.01     0.00    25488     0.00     0.00  std::vector<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> >::end() const
  0.00      0.01     0.00    25488     0.00     0.00  std::vector<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> >::begin() const
  0.00      0.01     0.00    25488     0.00     0.00  std::vector<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> >::empty() const
  0.00      0.01     0.00    25488     0.00     0.00  std::vector<GFX::cTextureMesh::Vertex, std::allocator<GFX::cTextureMesh::Vertex> >::operator[](unsigned int) const
  0.00      0.01     0.00    18289     0.00     0.00  GFX::cTextureWrapper::GetID() const
  0.00      0.01     0.00    10048     0.00     0.00  MATH::Vec2<float>::Vec2(float, float)
  0.00      0.01     0.00    10048     0.00     0.00  MATH::Vec2f::Vec2f(float, float)
  0.00      0.01     0.00    10000     0.00     0.00  cTile::cTile(float, float)
